 --------------------------------------------------------------------------------------------------------------------------------------- 
|   Log file for  'avsnr'. This file is generated during first encoding session, new sessions will be appended                           |
 --------------------------------------------------------------------------------------------------------------------------------------- 
|SNR a0|SNR a1|SNR a2|SNR a3|Bit a0|Bit a1|Bit a2|Bit a3|SNR b0|SNR b1|SNR b2|SNR b3|Bit b0|Bit b1|Bit b2|Bit b3|   Mode      | Output  |
| 33.02| 36.55| 40.14| 43.63|2716.00|4348.00|6740.00|10106.00| 33.23| 36.76| 40.24| 43.66|2740.00|4380.00|6773.00|10132.00|  DSNR mode  | 0.103 dB|
| 33.02| 36.55| 40.14| 43.63|2716.00|4348.00|6740.00|10106.00| 33.23| 36.76| 40.24| 43.66|2740.00|4380.00|6773.00|10132.00| Percent mode|   -1.26 %|
| 31.16| 34.02| 37.44| 41.63|2283.00|4843.00|9524.00|17012.00| 31.25| 34.10| 37.50| 41.65|2292.00|4861.00|9551.00|17036.00|  DSNR mode  | 0.053 dB|
| 31.16| 34.02| 37.44| 41.63|2283.00|4843.00|9524.00|17012.00| 31.25| 34.10| 37.50| 41.65|2292.00|4861.00|9551.00|17036.00| Percent mode|   -1.01 %|
| 29.27| 33.19| 37.41| 41.81|5779.00|10346.00|16567.00|24202.00| 29.38| 33.29| 37.47| 41.84|5801.00|10373.00|16592.00|24227.00|  DSNR mode  | 0.065 dB|
| 29.27| 33.19| 37.41| 41.81|5779.00|10346.00|16567.00|24202.00| 29.38| 33.29| 37.47| 41.84|5801.00|10373.00|16592.00|24227.00| Percent mode|   -0.72 %|
| 30.13| 33.52| 37.46| 41.65|3090.00|6648.00|12031.00|18948.00| 30.18| 33.61| 37.53| 41.67|3099.00|6663.00|12050.00|18975.00|  DSNR mode  | 0.059 dB|
| 30.13| 33.52| 37.46| 41.65|3090.00|6648.00|12031.00|18948.00| 30.18| 33.61| 37.53| 41.67|3099.00|6663.00|12050.00|18975.00| Percent mode|   -0.90 %|
| 35.22| 38.53| 41.70| 44.62|1465.00|2381.00|3818.00|5954.00| 35.31| 38.61| 41.78| 44.62|1469.00|2383.00|3820.00|5955.00|  DSNR mode  | 0.066 dB|
| 35.22| 38.53| 41.70| 44.62|1465.00|2381.00|3818.00|5954.00| 35.31| 38.61| 41.78| 44.62|1469.00|2383.00|3820.00|5955.00| Percent mode|   -0.97 %|
| 33.16| 36.41| 39.81| 42.84|1945.00|3456.00|5808.00|9299.00| 33.24| 36.49| 39.85| 42.84|1948.00|3458.00|5810.00|9300.00|  DSNR mode  | 0.054 dB|
| 33.16| 36.41| 39.81| 42.84|1945.00|3456.00|5808.00|9299.00| 33.24| 36.49| 39.85| 42.84|1948.00|3458.00|5810.00|9300.00| Percent mode|   -0.86 %|
| 30.07| 33.26| 37.14| 41.51|3059.00|6616.00|12428.00|20061.00| 30.10| 33.30| 37.14| 41.51|3062.00|6618.00|12430.00|20062.00|  DSNR mode  | 0.023 dB|
| 30.07| 33.26| 37.14| 41.51|3059.00|6616.00|12428.00|20061.00| 30.10| 33.30| 37.14| 41.51|3062.00|6618.00|12430.00|20062.00| Percent mode|   -0.30 %|
| 31.69| 34.92| 38.38| 42.28|3151.00|5389.00|9001.00|14616.00| 31.72| 34.96| 38.39| 42.28|3153.00|5392.00|9003.00|14617.00|  DSNR mode  | 0.021 dB|
| 31.69| 34.92| 38.38| 42.28|3151.00|5389.00|9001.00|14616.00| 31.72| 34.96| 38.39| 42.28|3153.00|5392.00|9003.00|14617.00| Percent mode|   -0.29 %|
| 32.92| 35.78| 38.97| 42.45|1710.00|3171.00|5943.00|10682.00| 33.08| 35.89| 39.06| 42.46|1712.00|3173.00|5945.00|10684.00|  DSNR mode  | 0.094 dB|
| 32.92| 35.78| 38.97| 42.45|1710.00|3171.00|5943.00|10682.00| 33.08| 35.89| 39.06| 42.46|1712.00|3173.00|5945.00|10684.00| Percent mode|   -1.82 %|
| 33.56| 36.79| 39.59| 42.59|2283.00|3580.00|5531.00|9342.00| 33.64| 36.85| 39.60| 42.59|2285.00|3582.00|5533.00|9344.00|  DSNR mode  | 0.030 dB|
| 33.56| 36.79| 39.59| 42.59|2283.00|3580.00|5531.00|9342.00| 33.64| 36.85| 39.60| 42.59|2285.00|3582.00|5533.00|9344.00| Percent mode|   -0.49 %|
| 28.44| 32.68| 37.14| 41.73|9139.00|14697.00|21643.00|29848.00| 28.55| 32.78| 37.17| 41.73|9142.00|14699.00|21645.00|29849.00|  DSNR mode  | 0.070 dB|
| 28.44| 32.68| 37.14| 41.73|9139.00|14697.00|21643.00|29848.00| 28.55| 32.78| 37.17| 41.73|9142.00|14699.00|21645.00|29849.00| Percent mode|   -0.59 %|
| 34.51| 37.61| 40.84| 44.11|1200.00|2273.00|4073.00|6868.00| 34.55| 37.67| 40.89| 44.11|1202.00|2275.00|4075.00|6869.00|  DSNR mode  | 0.043 dB|
| 34.51| 37.61| 40.84| 44.11|1200.00|2273.00|4073.00|6868.00| 34.55| 37.67| 40.89| 44.11|1202.00|2275.00|4075.00|6869.00| Percent mode|   -0.78 %|
| 33.02| 36.55| 40.14| 43.63|2716.00|4348.00|6740.00|10106.00| 33.15| 36.66| 40.20| 43.63|2718.00|4351.00|6742.00|10107.00|  DSNR mode  | 0.079 dB|
| 33.02| 36.55| 40.14| 43.63|2716.00|4348.00|6740.00|10106.00| 33.15| 36.66| 40.20| 43.63|2718.00|4351.00|6742.00|10107.00| Percent mode|   -0.97 %|
| 31.16| 34.02| 37.44| 41.63|2283.00|4843.00|9524.00|17012.00| 31.20| 34.07| 37.47| 41.63|2285.00|4845.00|9526.00|17013.00|  DSNR mode  | 0.035 dB|
| 31.16| 34.02| 37.44| 41.63|2283.00|4843.00|9524.00|17012.00| 31.20| 34.07| 37.47| 41.63|2285.00|4845.00|9526.00|17013.00| Percent mode|   -0.65 %|
| 29.27| 33.19| 37.41| 41.81|5779.00|10346.00|16567.00|24202.00| 29.33| 33.25| 37.43| 41.81|5782.00|10349.00|16569.00|24204.00|  DSNR mode  | 0.041 dB|
| 29.27| 33.19| 37.41| 41.81|5779.00|10346.00|16567.00|24202.00| 29.33| 33.25| 37.43| 41.81|5782.00|10349.00|16569.00|24204.00| Percent mode|   -0.44 %|
| 30.13| 33.52| 37.46| 41.65|3090.00|6648.00|12031.00|18948.00| 30.16| 33.58| 37.48| 41.65|3092.00|6650.00|12033.00|18949.00|  DSNR mode  | 0.038 dB|
| 30.13| 33.52| 37.46| 41.65|3090.00|6648.00|12031.00|18948.00| 30.16| 33.58| 37.48| 41.65|3092.00|6650.00|12033.00|18949.00| Percent mode|   -0.53 %|
| 33.16| 36.41| 39.81| 42.80|1945.00|3456.00|5808.00|9189.00| 33.26|  9.59|  9.62|  9.63|1466.00|2388.00|3825.00|5947.00|  DSNR mode  |-26.409 dB|
| 33.16| 36.41| 39.81| 42.80|1945.00|3456.00|5808.00|9189.00| 33.26|  9.59|  9.62|  9.63|1466.00|2388.00|3825.00|5947.00| Percent mode|     inf %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|2382.00|3819.00|5940.00|5940.00|  DSNR mode  |  -nan dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|2382.00|3819.00|5940.00|5940.00| Percent mode|   48.78 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|1466.00|2382.00|3819.00|5940.00|  DSNR mode  | 0.065 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|1466.00|2382.00|3819.00|5940.00| Percent mode|   -0.96 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|1466.00|2382.00|3819.00|5940.00|  DSNR mode  | 0.065 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|1466.00|2382.00|3819.00|5940.00| Percent mode|   -0.96 %|
| 33.16| 36.41| 39.81| 42.80|1945.00|3456.00|5808.00|9189.00| 33.26| 36.53| 39.82| 42.80|1946.00|3457.00|5809.00|9190.00|  DSNR mode  | 0.067 dB|
| 33.16| 36.41| 39.81| 42.80|1945.00|3456.00|5808.00|9189.00| 33.26| 36.53| 39.82| 42.80|1946.00|3457.00|5809.00|9190.00| Percent mode|   -1.04 %|
| 30.07| 33.26| 37.14| 41.51|3059.00|6616.00|12428.00|20050.00| 30.09| 33.27| 37.14| 41.51|3060.00|6617.00|12429.00|20051.00|  DSNR mode  | 0.007 dB|
| 30.07| 33.26| 37.14| 41.51|3059.00|6616.00|12428.00|20050.00| 30.09| 33.27| 37.14| 41.51|3060.00|6617.00|12429.00|20051.00| Percent mode|   -0.11 %|
| 31.69| 34.92| 38.38| 42.30|3151.00|5389.00|9001.00|14650.00| 31.74| 34.98| 38.38| 42.30|3152.00|5390.00|9002.00|14651.00|  DSNR mode  | 0.029 dB|
| 31.69| 34.92| 38.38| 42.30|3151.00|5389.00|9001.00|14650.00| 31.74| 34.98| 38.38| 42.30|3152.00|5390.00|9002.00|14651.00| Percent mode|   -0.39 %|
| 32.92| 35.78| 38.97| 42.46|1710.00|3171.00|5943.00|10679.00| 33.05| 35.90| 39.05| 42.46|1712.00|3172.00|5944.00|10680.00|  DSNR mode  | 0.091 dB|
| 32.92| 35.78| 38.97| 42.46|1710.00|3171.00|5943.00|10679.00| 33.05| 35.90| 39.05| 42.46|1712.00|3172.00|5944.00|10680.00| Percent mode|   -1.73 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|1466.00|2382.00|3819.00|5940.00|  DSNR mode  | 0.065 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|1466.00|2382.00|3819.00|5940.00| Percent mode|   -0.96 %|
| 33.16| 36.41| 39.81| 42.80|1945.00|3456.00|5808.00|9189.00| 33.26| 36.53| 39.82| 42.80|1946.00|3457.00|5809.00|9190.00|  DSNR mode  | 0.067 dB|
| 33.16| 36.41| 39.81| 42.80|1945.00|3456.00|5808.00|9189.00| 33.26| 36.53| 39.82| 42.80|1946.00|3457.00|5809.00|9190.00| Percent mode|   -1.04 %|
| 30.07| 33.26| 37.14| 41.51|3059.00|6616.00|12428.00|20050.00| 30.09| 33.27| 37.14| 41.51|3060.00|6617.00|12429.00|20051.00|  DSNR mode  | 0.007 dB|
| 30.07| 33.26| 37.14| 41.51|3059.00|6616.00|12428.00|20050.00| 30.09| 33.27| 37.14| 41.51|3060.00|6617.00|12429.00|20051.00| Percent mode|   -0.11 %|
| 31.69| 34.92| 38.38| 42.30|3151.00|5389.00|9001.00|14650.00| 31.74| 34.98| 38.38| 42.30|3152.00|5390.00|9002.00|14651.00|  DSNR mode  | 0.029 dB|
| 31.69| 34.92| 38.38| 42.30|3151.00|5389.00|9001.00|14650.00| 31.74| 34.98| 38.38| 42.30|3152.00|5390.00|9002.00|14651.00| Percent mode|   -0.39 %|
| 32.92| 35.78| 38.97| 42.46|1710.00|3171.00|5943.00|10679.00| 33.05| 35.90| 39.05| 42.46|1712.00|3172.00|5944.00|10680.00|  DSNR mode  | 0.091 dB|
| 32.92| 35.78| 38.97| 42.46|1710.00|3171.00|5943.00|10679.00| 33.05| 35.90| 39.05| 42.46|1712.00|3172.00|5944.00|10680.00| Percent mode|   -1.73 %|
| 33.56| 36.79| 39.59| 42.54|2283.00|3580.00|5531.00|9301.00| 33.66| 36.89| 39.59| 42.54|2284.00|3581.00|5532.00|9302.00|  DSNR mode  | 0.043 dB|
| 33.56| 36.79| 39.59| 42.54|2283.00|3580.00|5531.00|9301.00| 33.66| 36.89| 39.59| 42.54|2284.00|3581.00|5532.00|9302.00| Percent mode|   -0.74 %|
| 28.44| 32.68| 37.14| 41.71|9139.00|14697.00|21643.00|29730.00| 28.56| 32.79| 37.17| 41.71|9141.00|14698.00|21644.00|29731.00|  DSNR mode  | 0.077 dB|
| 28.44| 32.68| 37.14| 41.71|9139.00|14697.00|21643.00|29730.00| 28.56| 32.79| 37.17| 41.71|9141.00|14698.00|21644.00|29731.00| Percent mode|   -0.65 %|
| 34.51| 37.61| 40.84| 44.11|1200.00|2273.00|4073.00|6868.00| 34.58| 37.68| 40.86| 44.11|1201.00|2274.00|4074.00|6869.00|  DSNR mode  | 0.044 dB|
| 34.51| 37.61| 40.84| 44.11|1200.00|2273.00|4073.00|6868.00| 34.58| 37.68| 40.86| 44.11|1201.00|2274.00|4074.00|6869.00| Percent mode|   -0.77 %|
| 33.02| 36.55| 40.14| 43.63|2716.00|4348.00|6740.00|10098.00| 33.17| 36.70| 40.21| 43.63|2718.00|4349.00|6741.00|10099.00|  DSNR mode  | 0.103 dB|
| 33.02| 36.55| 40.14| 43.63|2716.00|4348.00|6740.00|10098.00| 33.17| 36.70| 40.21| 43.63|2718.00|4349.00|6741.00|10099.00| Percent mode|   -1.26 %|
| 31.16| 34.02| 37.44| 41.63|2283.00|4843.00|9524.00|17012.00| 31.22| 34.08| 37.45| 41.63|2284.00|4844.00|9525.00|17013.00|  DSNR mode  | 0.037 dB|
| 31.16| 34.02| 37.44| 41.63|2283.00|4843.00|9524.00|17012.00| 31.22| 34.08| 37.45| 41.63|2284.00|4844.00|9525.00|17013.00| Percent mode|   -0.63 %|
| 29.27| 33.19| 37.41| 41.81|5779.00|10346.00|16567.00|24202.00|  9.26|  9.26|  9.26|  9.26|  9.26|  9.26|  9.26|  9.26|  DSNR mode  |  -nan dB|
| 29.27| 33.19| 37.41| 41.81|5779.00|10346.00|16567.00|24202.00|  9.26|  9.26|  9.26|  9.26|  9.26|  9.26|  9.26|  9.26| Percent mode|    -nan %|
| 29.27| 33.19| 37.41| 41.81|5779.00|10346.00|16567.00|24202.00| 29.33| 33.26| 37.42| 41.81|5780.00|10347.00|16568.00|24203.00|  DSNR mode  | 0.045 dB|
| 29.27| 33.19| 37.41| 41.81|5779.00|10346.00|16567.00|24202.00| 29.33| 33.26| 37.42| 41.81|5780.00|10347.00|16568.00|24203.00| Percent mode|   -0.46 %|
| 30.13| 33.52| 37.46| 41.69|3090.00|6648.00|12031.00|18991.00| 30.17| 33.57| 37.46| 41.69|3091.00|6649.00|12032.00|18992.00|  DSNR mode  | 0.031 dB|
| 30.13| 33.52| 37.46| 41.69|3090.00|6648.00|12031.00|18991.00| 30.17| 33.57| 37.46| 41.69|3091.00|6649.00|12032.00|18992.00| Percent mode|   -0.41 %|
| 32.92| 35.78| 38.97| 42.46|1710.00|3171.00|5943.00|10679.00| 33.05| 35.90| 39.05| 42.46|1712.00|3172.00|5944.00|10680.00|  DSNR mode  | 0.091 dB|
| 32.92| 35.78| 38.97| 42.46|1710.00|3171.00|5943.00|10679.00| 33.05| 35.90| 39.05| 42.46|1712.00|3172.00|5944.00|10680.00| Percent mode|   -1.73 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|1466.00|2382.00|3819.00|5940.00|  DSNR mode  | 0.065 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|1466.00|2382.00|3819.00|5940.00| Percent mode|   -0.96 %|
| 33.16| 36.41| 39.81| 42.80|1945.00|3456.00|5808.00|9189.00| 33.26| 36.53| 39.82| 42.80|1946.00|3457.00|5809.00|9190.00|  DSNR mode  | 0.067 dB|
| 33.16| 36.41| 39.81| 42.80|1945.00|3456.00|5808.00|9189.00| 33.26| 36.53| 39.82| 42.80|1946.00|3457.00|5809.00|9190.00| Percent mode|   -1.04 %|
| 30.07| 33.26| 37.14| 41.51|3059.00|6616.00|12428.00|20050.00| 30.09| 33.27| 37.14| 41.51|3060.00|6617.00|12429.00|20051.00|  DSNR mode  | 0.007 dB|
| 30.07| 33.26| 37.14| 41.51|3059.00|6616.00|12428.00|20050.00| 30.09| 33.27| 37.14| 41.51|3060.00|6617.00|12429.00|20051.00| Percent mode|   -0.11 %|
| 31.69| 34.92| 38.38| 42.30|3151.00|5389.00|9001.00|14650.00| 31.74| 34.98| 38.38| 42.30|3152.00|5390.00|9002.00|14651.00|  DSNR mode  | 0.029 dB|
| 31.69| 34.92| 38.38| 42.30|3151.00|5389.00|9001.00|14650.00| 31.74| 34.98| 38.38| 42.30|3152.00|5390.00|9002.00|14651.00| Percent mode|   -0.39 %|
| 32.92| 35.78| 38.97| 42.46|1710.00|3171.00|5943.00|10679.00| 33.05| 35.90| 39.05| 42.46|1712.00|3172.00|5944.00|10680.00|  DSNR mode  | 0.091 dB|
| 32.92| 35.78| 38.97| 42.46|1710.00|3171.00|5943.00|10679.00| 33.05| 35.90| 39.05| 42.46|1712.00|3172.00|5944.00|10680.00| Percent mode|   -1.73 %|
| 33.56| 36.79| 39.59| 42.54|2283.00|3580.00|5531.00|9301.00| 33.66| 36.89| 39.59| 42.54|2284.00|3581.00|5532.00|9302.00|  DSNR mode  | 0.043 dB|
| 33.56| 36.79| 39.59| 42.54|2283.00|3580.00|5531.00|9301.00| 33.66| 36.89| 39.59| 42.54|2284.00|3581.00|5532.00|9302.00| Percent mode|   -0.74 %|
| 28.44| 32.68| 37.14| 41.71|9139.00|14697.00|21643.00|29730.00| 28.56| 32.79| 37.17| 41.71|9141.00|14698.00|21644.00|29731.00|  DSNR mode  | 0.077 dB|
| 28.44| 32.68| 37.14| 41.71|9139.00|14697.00|21643.00|29730.00| 28.56| 32.79| 37.17| 41.71|9141.00|14698.00|21644.00|29731.00| Percent mode|   -0.65 %|
| 34.51| 37.61| 40.84| 44.11|1200.00|2273.00|4073.00|6868.00| 34.58| 37.68| 40.86| 44.11|1201.00|2274.00|4074.00|6869.00|  DSNR mode  | 0.044 dB|
| 34.51| 37.61| 40.84| 44.11|1200.00|2273.00|4073.00|6868.00| 34.58| 37.68| 40.86| 44.11|1201.00|2274.00|4074.00|6869.00| Percent mode|   -0.77 %|
| 33.02| 36.55| 40.14| 43.63|2716.00|4348.00|6740.00|10098.00| 33.17| 36.70| 40.21| 43.63|2718.00|4349.00|6741.00|10099.00|  DSNR mode  | 0.103 dB|
| 33.02| 36.55| 40.14| 43.63|2716.00|4348.00|6740.00|10098.00| 33.17| 36.70| 40.21| 43.63|2718.00|4349.00|6741.00|10099.00| Percent mode|   -1.26 %|
| 31.16| 34.02| 37.44| 41.63|2283.00|4843.00|9524.00|17012.00| 31.22| 34.08| 37.45| 41.63|2284.00|4844.00|9525.00|17013.00|  DSNR mode  | 0.037 dB|
| 31.16| 34.02| 37.44| 41.63|2283.00|4843.00|9524.00|17012.00| 31.22| 34.08| 37.45| 41.63|2284.00|4844.00|9525.00|17013.00| Percent mode|   -0.63 %|
| 29.27| 33.19| 37.41| 41.81|5779.00|10346.00|16567.00|24202.00| 29.33| 33.26| 37.42| 41.81|5780.00|10347.00|16568.00|24203.00|  DSNR mode  | 0.045 dB|
| 29.27| 33.19| 37.41| 41.81|5779.00|10346.00|16567.00|24202.00| 29.33| 33.26| 37.42| 41.81|5780.00|10347.00|16568.00|24203.00| Percent mode|   -0.46 %|
| 30.13| 33.52| 37.46| 41.69|3090.00|6648.00|12031.00|18991.00| 30.17| 33.57| 37.46| 41.69|3091.00|6649.00|12032.00|18992.00|  DSNR mode  | 0.031 dB|
| 30.13| 33.52| 37.46| 41.69|3090.00|6648.00|12031.00|18991.00| 30.17| 33.57| 37.46| 41.69|3091.00|6649.00|12032.00|18992.00| Percent mode|   -0.41 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|1466.00|2382.00|3819.00|5940.00|  DSNR mode  | 0.065 dB|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.30| 38.62| 41.76| 44.63|1466.00|2382.00|3819.00|5940.00| Percent mode|   -0.96 %|
| 35.22| 38.53| 41.70| 44.63|1465.00|2381.00|3818.00|5939.00| 35.29| 38.59| 41.74| 44.63|1466.00|2382.00|3819.00|5940.00|  DSNR mode  | 0.045 dB|
